BAIT_GENE_ID	BAIT_OFFICIAL_SYMBOL	PREY_GENE_ID	PREY_OFFICIAL_SYMBOL	EXPERIMENTAL_SYSTEM	leastAppearances	randBool	firstLetters	possibleSightings	favWords	favFloat
1432	MAPK14	166	AES	Two-Hybrid	1	TRUE	a	1	"[""Hi"", ""Bye""]"	"[1.2, 32.4]"
1432	MAPK14	1843	DUSP1	Two-Hybrid	1	FALSE	b	2	"[""Hi"", ""Bye""]"	"[1.2, 32.4]"
5879	RAC1	5058	PAK1	Two-Hybrid	1	TRUE	c	3	"[""Hi"", ""Bye""]"	"[1.2, 32.4]"
998	CDC42	396	ARHGDIA	Two-Hybrid	1	FALSE	a	4	"[""Hi"", ""Bye""]"	"[1.2, 32.4]"
1432	MAPK14	2316	FLNA	Two-Hybrid	1	TRUE	b	5	"[""Hi"", ""Bye""]"	"[1.2, 32.4]"
5058	PAK1	8874	ARHGEF7	Two-Hybrid	1	FALSE	c	6	"[""Hi"", ""Bye""]"	"[1.2, 32.4]"
4802	NFYC	4800	NFYA	Two-Hybrid	1	TRUE	a	7	"[""Hi"", ""Bye""]"	"[1.2, 32.4]"
998	CDC42	5058	PAK1	Two-Hybrid	1	FALSE	b	8	"[""Hi"", ""Bye""]"	"[1.2, 32.4]"
3265	HRAS	5900	RALGDS	Two-Hybrid	1	TRUE	c	9	"[""Hi"", ""Bye""]"	"[1.2, 32.4]"
5879	RAC1	5062	PAK2	Two-Hybrid	1	FALSE	a	0	"[""Hi"", ""Bye""]"	"[1.2, 32.4]"
998	CDC42	5062	PAK2	Two-Hybrid	1	TRUE	b	1	"[""Hi"", ""Bye""]"	"[1.2, 32.4]"
1432	MAPK14	2872	MKNK2	Two-Hybrid	1	FALSE	c	2	"[""Hi"", ""Bye""]"	"[1.2, 32.4]"
7531	YWHAE	7529	YWHAB	Two-Hybrid	1	TRUE	a	3	"[""Hi"", ""Bye""]"	"[1.2, 32.4]"
4802	NFYC	4801	NFYB	Two-Hybrid	1	FALSE	b	4	"[""Hi"", ""Bye""]"	"[1.2, 32.4]"
7534	YWHAZ	7531	YWHAE	Two-Hybrid	1	TRUE	c	5	"[""Hi"", ""Bye""]"	"[1.2, 32.4]"
998	CDC42	7316	UBC	Two-Hybrid	1	TRUE	a	7	"[""Hi"", ""Bye""]"	"[1.2, 32.4]"
7329	UBE2I	8554	PIAS1	Two-Hybrid	1	FALSE	b	6	"[""Hi"", ""Bye""]"	"[1.2, 32.4]"
7329	UBE2I	10401	PIAS3	Two-Hybrid	1	TRUE	c	76	"[""Hi"", ""Bye""]"	"[1.2, 32.4]"
998	CDC42	408	ARRB1	Two-Hybrid	1	TRUE	a	8	"[""Hi"", ""Bye""]"	"[1.2, 32.4]"
998	CDC42	409	ARRB2	Two-Hybrid	1	FALSE	b	6	"[""Hi"", ""Bye""]"	"[1.2, 32.4]"
1432	MAPK14	3096	HIVEP1	Two-Hybrid	1	TRUE	c	4	"[""Hi"", ""Bye""]"	"[1.2, 32.4]"
1432	MAPK14	4208	MEF2C	Two-Hybrid	1	FALSE	a	2	"[""Hi"", ""Bye""]"	"[1.2, 32.4]"
4208	MEF2C	5598	MAPK7	Two-Hybrid	1	TRUE	b	34	"[""Hi"", ""Bye""]"	"[1.2, 32.4]"
1432	MAPK14	4209	MEF2D	Two-Hybrid	1	FALSE	c	7	"[""Hi"", ""Bye""]"	"[1.2, 32.4]"
2885	GRB2	1601	DAB2	Two-Hybrid	1	TRUE	a	65	"[""Hi"", ""Bye""]"	"[1.2, 32.4]"
2885	GRB2	5295	PIK3R1	Two-Hybrid	1	FALSE	b	9	"[""Hi"", ""Bye""]"	"[1.2, 32.4]"
2885	GRB2	5296	PIK3R2	Two-Hybrid	1	TRUE	c	56	"[""Hi"", ""Bye""]"	"[1.2, 32.4]"
2885	GRB2	8871	SYNJ2	Two-Hybrid	1	FALSE	a	9	"[""Hi"", ""Bye""]"	"[1.2, 32.4]"
2885	GRB2	8976	WASL	Two-Hybrid	1	TRUE	b	5	"[""Hi"", ""Bye""]"	"[1.2, 32.4]"
3725	JUN	2353	FOS	Two-Hybrid	1	FALSE	c	76	"[""Hi"", ""Bye""]"	"[1.2, 32.4]"
3725	JUN	468	ATF4	Two-Hybrid	1	TRUE	a	57	"[""Hi"", ""Bye""]"	"[1.2, 32.4]"
6654	SOS1	6453	ITSN1	Two-Hybrid	1	FALSE	b	46	"[""Hi"", ""Bye""]"	"[1.2, 32.4]"
7531	YWHAE	572	BAD	Two-Hybrid	1	TRUE	c	43	"[""Hi"", ""Bye""]"	"[1.2, 32.4]"
7531	YWHAE	9759	HDAC4	Two-Hybrid	1	TRUE	a	5	"[""Hi"", ""Bye""]"	"[1.2, 32.4]"
11335	CBX3	10155	TRIM28	Two-Hybrid	1	FALSE	b	654	"[""Hi"", ""Bye""]"	"[1.2, 32.4]"
2885	GRB2	10451	VAV3	Two-Hybrid	1	TRUE	c	65	"[""Hi"", ""Bye""]"	"[1.2, 32.4]"
2885	GRB2	867	CBL	Two-Hybrid	1	TRUE	a	76	"[""Hi"", ""Bye""]"	"[1.2, 32.4]"
4149	MAX	4609	MYC	Two-Hybrid	1	FALSE	b	987	"[""Hi"", ""Bye""]"	"[1.2, 32.4]"
5879	RAC1	5910	RAP1GDS1	Two-Hybrid	1	TRUE	c	987	"[""Hi"", ""Bye""]"	"[1.2, 32.4]"
7531	YWHAE	25937	WWTR1	Two-Hybrid	1	FALSE	a	0	"[""Hi"", ""Bye""]"	"[1.2, 32.4]"
7532	YWHAG	7128	TNFAIP3	Two-Hybrid	1	TRUE	b	98	"[""Hi"", ""Bye""]"	"[1.2, 32.4]"
324	APC	3728	JUP	Two-Hybrid	1	FALSE	c	78	"[""Hi"", ""Bye""]"	"[1.2, 32.4]"
998	CDC42	1447	CSN2	Two-Hybrid	1	TRUE	a	9	"[""Hi"", ""Bye""]"	"[1.2, 32.4]"
7532	YWHAG	3875	KRT18	Two-Hybrid	1	FALSE	b	678	"[""Hi"", ""Bye""]"	"[1.2, 32.4]"
7534	YWHAZ	572	BAD	Two-Hybrid	1	TRUE	c	6	"[""Hi"", ""Bye""]"	"[1.2, 32.4]"
2885	GRB2	10188	TNK2	Two-Hybrid	1	FALSE	a	7	"[""Hi"", ""Bye""]"	"[1.2, 32.4]"
